Date,incidents,total_delay
1-Apr-23,100,1306
1-Aug-23,194,2646
1-Dec-23,195,3415
1-Feb-23,101,1907
1-Jan-23,80,1212
1-Jul-23,128,2065
1-Jun-23,133,1773
1-Mar-23,54,1193
1-May-23,120,2095
1-Nov-23,189,2887
1-Oct-23,141,2897
1-Sep-23,182,4101
10-Apr-23,100,1620
10-Aug-23,140,3637
10-Dec-23,72,1638
10-Feb-23,103,1299
10-Jan-23,68,1070
10-Jul-23,146,3120
10-Jun-23,130,2465
10-Mar-23,141,3290
10-May-23,140,4751
10-Nov-23,186,3589
10-Oct-23,141,3461
10-Sep-23,74,1690
11-Apr-23,105,1831
11-Aug-23,168,2602
11-Dec-23,164,3497
11-Feb-23,104,1494
11-Jan-23,84,1985
11-Jul-23,121,3346
11-Jun-23,103,2255
11-Mar-23,106,2134
11-May-23,131,2604
11-Nov-23,158,2339
11-Oct-23,184,4102
11-Sep-23,155,2882
12-Apr-23,116,1735
12-Aug-23,151,2175
12-Dec-23,157,2253
12-Feb-23,92,2032
12-Jan-23,84,1584
12-Jul-23,138,2488
12-Jun-23,157,4238
12-Mar-23,65,870
12-May-23,134,1960
12-Nov-23,143,2838
12-Oct-23,171,3308
12-Sep-23,143,1948
13-Apr-23,145,2509
13-Aug-23,88,1610
13-Dec-23,177,2784
13-Feb-23,118,2155
13-Jan-23,161,3333
13-Jul-23,176,3094
13-Jun-23,162,2864
13-Mar-23,102,2071
13-May-23,90,1148
13-Nov-23,167,4179
13-Oct-23,171,3019
13-Sep-23,156,3730
14-Apr-23,156,3470
14-Aug-23,123,3580
14-Dec-23,176,2696
14-Feb-23,88,1648
14-Jan-23,74,1372
14-Jul-23,148,1868
14-Jun-23,143,3126
14-Mar-23,119,2437
14-May-23,80,1399
14-Nov-23,136,2018
14-Oct-23,137,2767
14-Sep-23,132,2589
15-Apr-23,91,1538
15-Aug-23,122,2625
15-Dec-23,185,2950
15-Feb-23,89,2594
15-Jan-23,77,1658
15-Jul-23,173,2716
15-Jun-23,124,1806
15-Mar-23,89,1131
15-May-23,101,2348
15-Nov-23,137,3162
15-Oct-23,108,2329
15-Sep-23,167,3750
16-Apr-23,88,1642
16-Aug-23,132,2670
16-Dec-23,138,3506
16-Feb-23,88,1837
16-Jan-23,90,1427
16-Jul-23,136,2230
16-Jun-23,120,2334
16-Mar-23,94,1070
16-May-23,109,2162
16-Nov-23,154,3071
16-Oct-23,144,2366
16-Sep-23,143,2169
17-Apr-23,152,2987
17-Aug-23,90,2835
17-Dec-23,111,2309
17-Feb-23,102,1755
17-Jan-23,105,2794
17-Jul-23,154,2947
17-Jun-23,104,2903
17-Mar-23,128,1969
17-May-23,109,2267
17-Nov-23,177,2810
17-Oct-23,148,2337
17-Sep-23,96,1588
18-Apr-23,105,2321
18-Aug-23,156,3688
18-Dec-23,160,2220
18-Feb-23,46,1366
18-Jan-23,66,2758
18-Jul-23,146,2537
18-Jun-23,69,1567
18-Mar-23,109,1377
18-May-23,117,1681
18-Nov-23,141,3473
18-Oct-23,129,1980
18-Sep-23,169,3804
19-Apr-23,151,3629
19-Aug-23,183,2812
19-Dec-23,125,1951
19-Feb-23,59,1136
19-Jan-23,83,1259
19-Jul-23,145,2633
19-Jun-23,121,2249
19-Mar-23,95,2104
19-May-23,100,1692
19-Nov-23,106,1955
19-Oct-23,128,2218
19-Sep-23,177,2902
2-Apr-23,95,1436
2-Aug-23,147,3048
2-Dec-23,161,2510
2-Feb-23,92,1944
2-Jan-23,60,1121
2-Jul-23,72,1173
2-Jun-23,114,2373
2-Mar-23,88,2708
2-May-23,119,1510
2-Nov-23,125,2186
2-Oct-23,177,3343
2-Sep-23,166,3211
20-Apr-23,106,2392
20-Aug-23,108,3438
20-Dec-23,171,4337
20-Feb-23,91,1572
20-Jan-23,89,2312
20-Jul-23,177,4839
20-Jun-23,89,1673
20-Mar-23,107,2116
20-May-23,102,1280
20-Nov-23,176,2707
20-Oct-23,197,3884
20-Sep-23,159,4248
21-Apr-23,138,2936
21-Aug-23,108,2517
21-Dec-23,136,3114
21-Feb-23,80,2088
21-Jan-23,79,1665
21-Jul-23,138,2551
21-Jun-23,113,1873
21-Mar-23,117,2107
21-May-23,73,1342
21-Nov-23,185,2741
21-Oct-23,194,3889
21-Sep-23,158,2564
22-Apr-23,105,1677
22-Aug-23,119,2543
22-Dec-23,153,2520
22-Feb-23,152,3611
22-Jan-23,72,1592
22-Jul-23,169,3137
22-Jun-23,122,2019
22-Mar-23,73,1000
22-May-23,49,1471
22-Nov-23,185,2728
22-Oct-23,128,1776
22-Sep-23,150,3576
23-Apr-23,96,2727
23-Aug-23,120,1975
23-Dec-23,154,2468
23-Feb-23,173,5654
23-Jan-23,92,1867
23-Jul-23,123,1876
23-Jun-23,135,2677
23-Mar-23,139,2085
23-May-23,133,2716
23-Nov-23,173,3501
23-Oct-23,129,2363
23-Sep-23,126,2191
24-Apr-23,104,2392
24-Aug-23,163,6040
24-Dec-23,96,2895
24-Feb-23,118,2068
24-Jan-23,100,1400
24-Jul-23,147,2680
24-Jun-23,118,2401
24-Mar-23,100,1574
24-May-23,123,3117
24-Nov-23,170,3858
24-Oct-23,115,1763
24-Sep-23,105,2258
25-Apr-23,171,2764
25-Aug-23,189,5046
25-Dec-23,81,1414
25-Feb-23,99,2065
25-Jan-23,247,5037
25-Jul-23,174,3639
25-Jun-23,58,907
25-Mar-23,110,2053
25-May-23,138,3902
25-Nov-23,152,2873
25-Oct-23,177,3521
25-Sep-23,195,5114
26-Apr-23,125,3168
26-Aug-23,133,2764
26-Dec-23,79,1305
26-Feb-23,74,1719
26-Jan-23,128,3039
26-Jul-23,199,5975
26-Jun-23,129,3358
26-Mar-23,91,1614
26-May-23,104,2202
26-Nov-23,122,2935
26-Oct-23,163,3030
26-Sep-23,179,5631
27-Apr-23,116,2706
27-Aug-23,112,2235
27-Dec-23,166,2621
27-Feb-23,130,3925
27-Jan-23,118,3282
27-Jul-23,165,2374
27-Jun-23,156,3731
27-Mar-23,89,1636
27-May-23,83,1047
27-Nov-23,122,1923
27-Oct-23,194,3776
27-Sep-23,177,4523
28-Apr-23,151,2204
28-Aug-23,164,3224
28-Dec-23,115,1733
28-Feb-23,126,2084
28-Jan-23,71,940
28-Jul-23,243,4462
28-Jun-23,162,2435
28-Mar-23,96,1912
28-May-23,72,1455
28-Nov-23,136,3434
28-Oct-23,140,3244
28-Sep-23,149,3095
29-Apr-23,93,1329
29-Aug-23,170,2579
29-Dec-23,157,2296
29-Jan-23,86,2876
29-Jul-23,185,3696
29-Jun-23,141,2417
29-Mar-23,117,3007
29-May-23,106,2215
29-Nov-23,172,3086
29-Oct-23,107,2000
29-Sep-23,111,2891
3-Apr-23,97,1188
3-Aug-23,129,2406
3-Dec-23,104,1441
3-Feb-23,135,2346
3-Jan-23,94,1902
3-Jul-23,86,1406
3-Jun-23,107,1422
3-Mar-23,76,3017
3-May-23,153,2484
3-Nov-23,169,2851
3-Oct-23,194,3465
3-Sep-23,92,2208
30-Apr-23,59,949
30-Aug-23,137,1984
30-Dec-23,171,3040
30-Jan-23,101,2089
30-Jul-23,125,2251
30-Jun-23,134,3406
30-Mar-23,113,2325
30-May-23,131,2694
30-Nov-23,176,2890
30-Oct-23,155,3148
30-Sep-23,182,3663
31-Aug-23,137,1833
31-Dec-23,132,2294
31-Jan-23,105,3275
31-Jul-23,119,2066
31-Mar-23,134,2257
31-May-23,121,2347
31-Oct-23,190,3418
4-Apr-23,107,1452
4-Aug-23,139,2899
4-Dec-23,154,2614
4-Feb-23,86,1610
4-Jan-23,108,2701
4-Jul-23,127,2131
4-Jun-23,86,1945
4-Mar-23,198,7956
4-May-23,138,2156
4-Nov-23,159,2730
4-Oct-23,150,2173
4-Sep-23,124,2766
5-Apr-23,144,2185
5-Aug-23,183,2947
5-Dec-23,140,3291
5-Feb-23,87,2343
5-Jan-23,88,1774
5-Jul-23,146,3199
5-Jun-23,116,4381
5-Mar-23,94,2699
5-May-23,102,2101
5-Nov-23,117,1570
5-Oct-23,165,2294
5-Sep-23,172,3626
6-Apr-23,99,1374
6-Aug-23,105,2340
6-Dec-23,166,2486
6-Feb-23,71,1810
6-Jan-23,115,2296
6-Jul-23,162,2669
6-Jun-23,101,2633
6-Mar-23,213,3298
6-May-23,108,2270
6-Nov-23,146,2216
6-Oct-23,180,3477
6-Sep-23,148,2939
7-Apr-23,63,1028
7-Aug-23,85,1686
7-Dec-23,172,2649
7-Feb-23,92,1243
7-Jan-23,70,1104
7-Jul-23,154,2787
7-Jun-23,128,2915
7-Mar-23,150,3687
7-May-23,91,1882
7-Nov-23,129,2245
7-Oct-23,157,3627
7-Sep-23,159,2252
8-Apr-23,80,1370
8-Aug-23,135,2929
8-Dec-23,199,3311
8-Feb-23,100,1917
8-Jan-23,68,1083
8-Jul-23,120,2098
8-Jun-23,116,2087
8-Mar-23,122,2784
8-May-23,116,1624
8-Nov-23,165,2523
8-Oct-23,106,1797
8-Sep-23,106,1594
9-Apr-23,64,1350
9-Aug-23,168,4076
9-Dec-23,152,3032
9-Feb-23,104,1521
9-Jan-23,90,1307
9-Jul-23,95,1458
9-Jun-23,119,1884
9-Mar-23,125,2306
9-May-23,85,2848
9-Nov-23,155,2251
9-Oct-23,79,1877
9-Sep-23,113,1828
